timestamp,ticker,mode,long_score,short_score,confidence_label,signal_type,suggested_entry,stop_loss,target1,target2,reward_risk,atr,rsi14,vwap,rel_volume,outcome_pnl,outcome_note
2026-03-11T15:14:39,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:14:44,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:14:49,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:14:54,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:14:59,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:15:04,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:15:09,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:15:15,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:15:20,SNDK,live,36.8,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:15:25,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:15:30,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:15:35,SNDK,live,47.9,9.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:30:51,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:30:56,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
2026-03-11T15:31:01,SNDK,live,36.8,20.2,No Trade,NO_TRADE,,,,,,2.7285714285714318,60.70472792149864,625.1844643068458,0.13,,
